Sr.No.,Reciept no,Bill Date,Collection Date,Transaction Amount,Payment Type,Mode of Payment
1,BD015153BAHAAAPI4MY8,2025-05-02,2025-06-02,2082.68,Energy Charges,INSTA PAY
2,BD015091BAGAAANTVLDB,2025-03-01,2025-04-01,1404.38,Energy Charges,INSTA PAY
3,BD015029BAGAAAL12CJI,2024-12-29,2025-01-29,609.54,Energy Charges,INSTA PAY
4,BD014337BAFAAAKD8VZB,2024-11-02,2024-12-02,2087.56,Energy Charges,INSTA PAY
5,QF477134,2024-09-03,2024-10-03,1773.0,Energy Charges,CASH
6,BD014213BAEAAAF3X0QK,2024-06-30,2024-07-31,2425.36,Energy Charges,INSTA PAY
7,BD014151BADAAAD8FB4E,2024-04-30,2024-05-30,2027.82,Energy Charges,INSTA PAY
8,20757185371,2024-03-04,2024-04-04,1348.35,Energy Charges,INSTA PAY
9,20406018170,2024-01-01,2024-02-01,1156.51,Energy Charges,INSTA PAY
10,20094073250,2023-11-01,2023-12-01,2136.14,Energy Charges,INSTA PAY
11,19781106927,2023-08-29,2023-09-29,2084.58,Energy Charges,INSTA PAY
12,19488250821,2023-07-02,2023-08-02,2318.0,Energy Charges,INSTA PAY
13,18944656409,2023-04-29,2023-05-29,2248.0,Energy Charges,INSTA PAY
14,18404042407,2023-02-27,2023-03-27,1483.5,Energy Charges,INSTA PAY
15,15261870624,2022-12-26,2023-01-26,1413.1,Energy Charges,INSTA PAY
16,13095313465,2022-10-28,2022-11-28,2053.34,Energy Charges,INSTA PAY
17,11807371536,2022-09-01,2022-10-01,2182.6,Energy Charges,INSTA PAY
18,11171590790,2022-06-28,2022-07-28,2040.0,Energy Charges,INSTA PAY
19,10958307048,2022-05-01,2022-06-01,1632.62,Energy Charges,INSTA PAY
20,10762870341,2022-03-04,2022-04-04,1064.31,Energy Charges,INSTA PAY
21,9168851987,2022-01-04,2022-02-04,1088.05,Energy Charges,INSTA PAY
22,1652060412,2021-11-06,2021-12-06,1572.0,Energy Charges,CASH
23,1936174327,2021-09-07,2021-10-07,1963.0,Energy Charges,CASH
24,QY194192,2021-06-30,2021-07-30,2190.0,Energy Charges,CASH
25,QY132014,2021-05-01,2021-06-01,1700.0,Energy Charges,CASH
26,QY013744,2021-03-08,2021-04-08,1250.0,Energy Charges,CASH
27,QY043270,2021-01-11,2021-02-11,810.0,Energy Charges,CASH
28,QG496991,2020-11-14,2020-12-14,1490.0,Energy Charges,CASH
29,QG490559,2020-09-08,2020-10-08,2170.0,Energy Charges,CASH
30,SE134053,2020-07-07,2020-08-07,1450.0,Energy Charges,CASH
31,SE130525,2020-05-09,2020-06-09,2120.0,Energy Charges,CASH
